Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Model
74,0.5923483890692393,0.5851845925649007,0.74175,0.7393333333333333,Model V1
75,0.6008476105531056,0.6099197385311127,0.7445,0.7343333333333333,Model V1
76,0.5939281613032024,0.586388995329539,0.747,0.7486666666666667,Model V1
77,0.5853581991990408,0.5909470858573913,0.7535833333333334,0.7426666666666667,Model V1
78,0.5980828475952148,0.5772120291392009,0.7438333333333333,0.7586666666666667,Model V1
79,0.5917121113141378,0.577694081624349,0.748,0.751,Model V1
80,0.5838526411453883,0.5790436408519745,0.7506666666666667,0.7476666666666667,Model V1
81,0.586319099744161,0.5850643261273702,0.751,0.7633333333333333,Model V1
82,0.5816786046028137,0.5870971585909526,0.7515,0.7433333333333333,Model V1
83,0.5995999633471171,0.5706627544562022,0.74425,0.7646666666666667,Model V1
84,0.5894576268196106,0.5748218852678935,0.74575,0.758,Model V1
85,0.5867309006055196,0.5715415318806966,0.75125,0.756,Model V1
86,0.5814332251151403,0.5728361770311992,0.752,0.757,Model V1
87,0.5846566255092621,0.5673318826357524,0.7531666666666667,0.7583333333333333,Model V1
88,0.5838579180637995,0.5820160652796428,0.7490833333333333,0.75,Model V1
89,0.5908750417232513,0.5739119919141134,0.7505833333333334,0.755,Model V1
90,0.5866975412368775,0.5800722796122233,0.7493333333333333,0.749,Model V1
91,0.5876540986696879,0.5796317403316498,0.7480833333333333,0.7596666666666667,Model V1
92,0.5892360750834147,0.5934447213808696,0.74975,0.7506666666666667,Model V1
93,0.5803537302811941,0.5881050845781962,0.75375,0.743,Model V1
94,0.5953926198482513,0.5764856983820598,0.7495,0.753,Model V1
95,0.5814550901254019,0.5841407890319824,0.7501666666666666,0.745,Model V1
96,0.5800990112622579,0.5823187301953634,0.7513333333333333,0.7516666666666667,Model V1
97,0.5797632622718811,0.5744802560011546,0.7531666666666667,0.757,Model V1
98,0.5870081166426341,0.5704132063388825,0.7504166666666666,0.7566666666666667,Model V1
99,0.5828710109392802,0.5833171060880025,0.7511666666666666,0.752,Model V1
100,0.5820501860777537,0.5663945194880168,0.7533333333333333,0.761,Model V1
101,0.5851734528938929,0.5786582169532776,0.7528333333333334,0.7446666666666667,Model V1
102,0.5927152127424876,0.5797000093460083,0.7425,0.7526666666666667,Model V1
103,0.5824855604171753,0.5825867218971252,0.7521666666666667,0.7536666666666667,Model V1
104,0.5862395040591558,0.5627440066337586,0.75375,0.7593333333333333,Model V1
105,0.5822394262949626,0.5728009839057923,0.7535833333333334,0.7523333333333333,Model V1
106,0.5893921624024709,0.5698216670354207,0.7514166666666666,0.7653333333333333,Model V1
107,0.5884166198571523,0.5799609220822652,0.74625,0.7583333333333333,Model V1
108,0.5884338738123576,0.5779865247408549,0.7451666666666666,0.7553333333333333,Model V1
109,0.5822144178946813,0.5749470777511597,0.7494166666666666,0.7446666666666667,Model V1
110,0.5844055760701498,0.5734962029457092,0.7491666666666666,0.7496666666666667,Model V1
111,0.5847102200984955,0.5730577330589295,0.7514166666666666,0.763,Model V1
112,0.5820992464224497,0.5726009403864543,0.758,0.7533333333333333,Model V1
113,0.5800807623068491,0.5721085718472798,0.7585,0.7576666666666667,Model V1
114,0.5761418405373891,0.5758449425697326,0.755,0.7523333333333333,Model V1
115,0.5814302945931753,0.5723371022542317,0.7515,0.7623333333333333,Model V1
116,0.5735052107175191,0.5630598051548004,0.7563333333333333,0.7516666666666667,Model V1
117,0.5836497144699097,0.5706092589696249,0.7534166666666666,0.76,Model V1
118,0.5763761660257976,0.5734913908640543,0.7510833333333333,0.7533333333333333,Model V1
119,0.5854982438882192,0.5676949892044068,0.7478333333333333,0.7523333333333333,Model V1
0,1.3283832821846009,1.0053849873542786,0.44,0.482,Model V2
1,1.0201242790222167,0.9890406864484151,0.4735,0.49566666666666664,Model V2
2,0.9777394893964132,0.9382510951360067,0.5080833333333333,0.5223333333333333,Model V2
3,0.9553849822680155,0.9150785524050394,0.5235,0.5496666666666666,Model V2
4,0.933795504728953,0.9033602568308512,0.5401666666666667,0.5546666666666666,Model V2
5,0.9122668553988139,0.919687885125478,0.5583333333333333,0.5596666666666666,Model V2
6,0.9086237966219585,0.9138138324419658,0.5665,0.5506666666666666,Model V2
7,0.8909412857691447,0.8563955095609029,0.57875,0.586,Model V2
8,0.8754650672276815,0.8474615486462911,0.589,0.5876666666666667,Model V2
9,0.8646003322601319,0.8514330600102743,0.5919166666666666,0.589,Model V2
10,0.8458137987454732,0.8751710767745972,0.6046666666666667,0.608,Model V2
11,0.8349141804377238,0.8358614826202393,0.6159166666666667,0.6166666666666667,Model V2
12,0.8285708657900492,0.8134786758422852,0.6163333333333333,0.6253333333333333,Model V2
13,0.8079267505009969,0.7757452514966329,0.6239166666666667,0.639,Model V2
14,0.8063308254877726,0.8160304290453593,0.6406666666666667,0.6463333333333333,Model V2
15,0.7887284069856008,0.7710241030057271,0.6575,0.663,Model V2
16,0.778640505472819,0.795458928267161,0.6613333333333333,0.6486666666666666,Model V2
17,0.7604747522672017,0.739876070022583,0.6649166666666667,0.663,Model V2
18,0.7575598891576131,0.7126995584170024,0.6695833333333333,0.6956666666666667,Model V2
19,0.7397644089063009,0.7299839351971944,0.6815833333333333,0.6803333333333333,Model V2
20,0.7276091158390046,0.7355193665822347,0.6874166666666667,0.6826666666666666,Model V2
21,0.7276045317649842,0.7176550304094951,0.692,0.6913333333333334,Model V2
22,0.7174473893642426,0.7003118470509847,0.6955,0.7056666666666667,Model V2
23,0.7059129952589671,0.6723650913238526,0.6989166666666666,0.707,Model V2
24,0.7076964932282765,0.688413673877716,0.69825,0.6993333333333334,Model V2
25,0.6906514395872752,0.7109573221206665,0.70475,0.6913333333333334,Model V2
26,0.6883076742490133,0.7264562554359436,0.708,0.6653333333333333,Model V2
27,0.6788336408138275,0.671287277062734,0.715,0.7276666666666667,Model V2
28,0.6714240431785583,0.7402840410868327,0.7140833333333333,0.666,Model V2
29,0.6845233475367228,0.6589432702064514,0.7095833333333333,0.7123333333333334,Model V2
30,0.6835122606754302,0.6604742546081543,0.7095833333333333,0.725,Model V2
31,0.6751511678695679,0.6642205625375112,0.7175833333333334,0.7056666666666667,Model V2
32,0.6740232653617859,0.7307222245534261,0.7225833333333334,0.7,Model V2
33,0.6594461905161539,0.6518182895978292,0.721,0.7226666666666667,Model V2
34,0.6491340669790904,0.6453694173494975,0.7315,0.7306666666666667,Model V2
35,0.6472529338200887,0.6266157406171163,0.7313333333333333,0.7353333333333333,Model V2
36,0.6475369350910187,0.6701956448554993,0.7243333333333334,0.713,Model V2
37,0.6464267517725627,0.6348918148676554,0.7295,0.7373333333333333,Model V2
38,0.6409236556688944,0.6180918930371603,0.7331666666666666,0.7433333333333333,Model V2
39,0.6298417450586955,0.6284274910291036,0.7355833333333334,0.7346666666666667,Model V2
40,0.62024414118131,0.6170624050299327,0.74325,0.744,Model V2
41,0.6286110308170318,0.6208431193033854,0.7396666666666667,0.7423333333333333,Model V2
42,0.6207185668945312,0.6016977688471477,0.73925,0.7426666666666667,Model V2
43,0.614947363615036,0.6313549100557964,0.74275,0.745,Model V2
44,0.6218195765018463,0.6418570257822672,0.7435,0.7203333333333334,Model V2
45,0.6242095014254252,0.5819021700223287,0.7408333333333333,0.755,Model V2
46,0.6149467624028524,0.6192411613464356,0.7423333333333333,0.731,Model V2
47,0.6036521011193593,0.6109472743670146,0.7516666666666667,0.7456666666666667,Model V2
48,0.6125447711149852,0.5911604953606924,0.7469166666666667,0.76,Model V2
49,0.6069670430819194,0.6021434961160024,0.7521666666666667,0.7446666666666667,Model V2
50,0.6124942553043365,0.6133377877871196,0.74675,0.7526666666666667,Model V2
51,0.5978600089550018,0.6350832171440125,0.757,0.7263333333333334,Model V2
52,0.5636915680567424,0.5592406731446584,0.7709166666666667,0.7676666666666667,Model V2
53,0.5633271389802297,0.5810783775647481,0.7716666666666666,0.756,Model V2
54,0.5418991282780965,0.5708008783658346,0.7798333333333334,0.7593333333333333,Model V2
55,0.5487792664368948,0.5511924611727397,0.7803333333333333,0.7663333333333333,Model V2
56,0.5387313228845596,0.5964644549687703,0.7783333333333333,0.7536666666666667,Model V2
57,0.5316621358791987,0.5456996497313181,0.78875,0.781,Model V2
58,0.5302466929356258,0.54381778216362,0.7850833333333334,0.779,Model V2
